window,electrode,term,beta,se,t,p,n_subjects,n_obs,random_effects,converged,llf,aic,bic
pre_cue,P4,group[T.experimental],-0.038212569942819435,0.045843926490077215,-0.8335361490270785,0.4045424192858704,70,5379,1 + f + f2,True,2397.6979297215075,-4765.395859443015,-4666.5419930089165
pre_cue,P4,half[T.second],0.026351147362118403,0.004109836023627384,6.411727185859986,1.4388014372918544e-10,70,5379,1 + f + f2,True,2397.6979297215075,-4765.395859443015,-4666.5419930089165
pre_cue,P4,f,-0.009837269821333634,0.008550375539357733,-1.1505073404147308,0.24993497264529063,70,5379,1 + f + f2,True,2397.6979297215075,-4765.395859443015,-4666.5419930089165
pre_cue,P4,group[T.experimental]:f,0.007041554397471522,0.012064364047483985,0.5836656097044779,0.5594453090530336,70,5379,1 + f + f2,True,2397.6979297215075,-4765.395859443015,-4666.5419930089165
pre_cue,P4,f2,-0.011743709720444362,0.021384054679782678,-0.5491806814143309,0.5828814606981354,70,5379,1 + f + f2,True,2397.6979297215075,-4765.395859443015,-4666.5419930089165
pre_cue,P4,group[T.experimental]:f2,-0.04423883526906844,0.030676858324244907,-1.4420914554377644,0.14927657521017143,70,5379,1 + f + f2,True,2397.6979297215075,-4765.395859443015,-4666.5419930089165
pre_cue,P4,mean_trial_difficulty,0.08391853364062878,0.026024194984617575,3.2246351401160145,0.001261333091640888,70,5379,1 + f + f2,True,2397.6979297215075,-4765.395859443015,-4666.5419930089165
pre_cue,P5,Intercept,1.333738499249595,0.05091694182748258,26.19439525194943,3.078334712166197e-151,70,5385,1 + f,True,1968.2418068757725,-3912.483613751545,-3833.387142676459
pre_cue,P5,group[T.experimental],-0.08798860795876527,0.06952892693723152,-1.2654964176018215,0.20569343177307575,70,5385,1 + f,True,1968.2418068757725,-3912.483613751545,-3833.387142676459
pre_cue,P5,half[T.second],0.027547723110052123,0.004417779037407374,6.235649831463466,4.499064903280383e-10,70,5385,1 + f,True,1968.2418068757725,-3912.483613751545,-3833.387142676459
pre_cue,P5,f,-0.023620339594319997,0.012789612831813861,-1.8468377350379956,0.06477066107555488,70,5385,1 + f,True,1968.2418068757725,-3912.483613751545,-3833.387142676459
pre_cue,P5,group[T.experimental]:f,0.002117217345165019,0.01792564842332236,0.11811106048528715,0.9059796597978529,70,5385,1 + f,True,1968.2418068757725,-3912.483613751545,-3833.387142676459
pre_cue,P5,f2,-0.07430418029658095,0.02162395427686105,-3.436197623488825,0.0005899404755188944,70,5385,1 + f,True,1968.2418068757725,-3912.483613751545,-3833.387142676459
pre_cue,P5,group[T.experimental]:f2,0.06662982436448528,0.030990356960658404,2.1500179700759956,0.03155379337513377,70,5385,1 + f,True,1968.2418068757725,-3912.483613751545,-3833.387142676459
pre_cue,P5,mean_trial_difficulty,0.04898295149661171,0.028003084420863286,1.7491984368735352,0.08025672420160627,70,5385,1 + f,True,1968.2418068757725,-3912.483613751545,-3833.387142676459
pre_cue,P6,Intercept,1.3396713340409465,0.038928828243889615,34.413348525362444,1.5923043126785047e-259,70,5379,1 + f + f2,True,2024.0069544766739,-4018.0139089533477,-3919.160042519249
pre_cue,P6,group[T.experimental],-0.04180436706530502,0.05236845755990738,-0.7982737894749435,0.4247116247813243,70,5379,1 + f + f2,True,2024.0069544766739,-4018.0139089533477,-3919.160042519249
pre_cue,P6,half[T.second],0.03526881022329916,0.004402428964536014,8.011216196197331,1.1357958063074383e-15,70,5379,1 + f + f2,True,2024.0069544766739,-4018.0139089533477,-3919.160042519249
pre_cue,P6,f,-0.027685751438578668,0.010093201722321424,-2.743009819901923,0.006087886488414618,70,5379,1 + f + f2,True,2024.0069544766739,-4018.0139089533477,-3919.160042519249
pre_cue,P6,group[T.experimental]:f,0.028960343964683583,0.01416071316867481,2.045119028944624,0.04084312468560966,70,5379,1 + f + f2,True,2024.0069544766739,-4018.0139089533477,-3919.160042519249
pre_cue,P6,f2,-0.012354780414455976,0.026414089748210103,-0.4677344755101081,0.6399744836734709,70,5379,1 + f + f2,True,2024.0069544766739,-4018.0139089533477,-3919.160042519249
pre_cue,P6,group[T.experimental]:f2,-0.03152935280440681,0.037498327871897365,-0.8408202336946355,0.40044865008953023,70,5379,1 + f + f2,True,2024.0069544766739,-4018.0139089533477,-3919.160042519249
pre_cue,P6,mean_trial_difficulty,0.08132131496834778,0.027834211666021885,2.9216316935470936,0.0034820303280248617,70,5379,1 + f + f2,True,2024.0069544766739,-4018.0139089533477,-3919.160042519249
pre_cue,P7,Intercept,1.3326181186587505,0.042329871780143004,31.481742387036554,1.544511604632905e-217,70,5393,1 + f + f2,True,1427.809880382978,-2825.619760765956,-2726.7269043358974
pre_cue,P7,group[T.experimental],-0.08677751108204512,0.056840538846507666,-1.5266834699857321,0.12683973976557558,70,5393,1 + f + f2,True,1427.809880382978,-2825.619760765956,-2726.7269043358974
pre_cue,P7,half[T.second],0.03425928237354256,0.004910954559064704,6.976094354264861,3.034989374247392e-12,70,5393,1 + f + f2,True,1427.809880382978,-2825.619760765956,-2726.7269043358974
pre_cue,P7,f,-0.030618032139603422,0.013465219134434728,-2.273860665312431,0.022974365350830965,70,5393,1 + f + f2,True,1427.809880382978,-2825.619760765956,-2726.7269043358974
pre_cue,P7,group[T.experimental]:f,0.021525895118028722,0.018867528928867883,1.1408963621671442,0.2539130534659265,70,5393,1 + f + f2,True,1427.809880382978,-2825.619760765956,-2726.7269043358974
pre_cue,P7,f2,-0.058970293840582964,0.03544094560852417,-1.663902946946189,0.09613182601858727,70,5393,1 + f + f2,True,1427.809880382978,-2825.619760765956,-2726.7269043358974
pre_cue,P7,group[T.experimental]:f2,0.0048237281848642595,0.0499900746959505,0.09649371828714252,0.9231284627278784,70,5393,1 + f + f2,True,1427.809880382978,-2825.619760765956,-2726.7269043358974
pre_cue,P7,mean_trial_difficulty,0.018127258509091693,0.030997081294037908,0.5848053349648231,0.5586786167274935,70,5393,1 + f + f2,True,1427.809880382978,-2825.619760765956,-2726.7269043358974
pre_cue,P8,Intercept,1.2973704570513116,0.042936171677250744,30.216258375422626,1.448632088737595e-200,70,5382,1 + f + f2,True,1477.6763079820848,-2925.3526159641697,-2826.4903859948668
pre_cue,P8,group[T.experimental],-0.03532371388077635,0.057764714881704975,-0.6115102264957936,0.5408618502447153,70,5382,1 + f + f2,True,1477.6763079820848,-2925.3526159641697,-2826.4903859948668
pre_cue,P8,half[T.second],0.043020016452915394,0.004860836588664661,8.850331762486505,8.725951034579192e-19,70,5382,1 + f + f2,True,1477.6763079820848,-2925.3526159641697,-2826.4903859948668
pre_cue,P8,f,-0.04020398654621981,0.014761456265119625,-2.7235786106835036,0.006457884483073785,70,5382,1 + f + f2,True,1477.6763079820848,-2925.3526159641697,-2826.4903859948668
pre_cue,P8,group[T.experimental]:f,0.03933508396049828,0.020644373271026722,1.9053658565505096,0.05673253027066483,70,5382,1 + f + f2,True,1477.6763079820848,-2925.3526159641697,-2826.4903859948668
pre_cue,P8,f2,0.022051364255628737,0.03215154384543413,0.685857088593905,0.49280323222988087,70,5382,1 + f + f2,True,1477.6763079820848,-2925.3526159641697,-2826.4903859948668
pre_cue,P8,group[T.experimental]:f2,-0.06280180453311081,0.0453633532165102,-1.3844171579065236,0.16623075818434463,70,5382,1 + f + f2,True,1477.6763079820848,-2925.3526159641697,-2826.4903859948668
pre_cue,P8,mean_trial_difficulty,0.0698420595795932,0.030673277533744537,2.2769676146527864,0.022788159613398473,70,5382,1 + f + f2,True,1477.6763079820848,-2925.3526159641697,-2826.4903859948668
pre_cue,PO10,Intercept,1.2316994784079154,0.04542545428377973,27.114742116023784,6.599148139826886e-162,70,5363,1 + f + f2,True,949.2594099278213,-1868.5188198556425,-1769.7096378708986
pre_cue,PO10,group[T.experimental],0.043003908327944776,0.060929401747948385,0.7057989590287221,0.4803131695301953,70,5363,1 + f + f2,True,949.2594099278213,-1868.5188198556425,-1769.7096378708986
pre_cue,PO10,half[T.second],0.028931300051990412,0.005362795924319894,5.394816521133882,6.859360894123014e-08,70,5363,1 + f + f2,True,949.2594099278213,-1868.5188198556425,-1769.7096378708986
pre_cue,PO10,f,-0.021889333221557703,0.01697714643350405,-1.289341133228347,0.19727951683113065,70,5363,1 + f + f2,True,949.2594099278213,-1868.5188198556425,-1769.7096378708986
pre_cue,PO10,group[T.experimental]:f,0.022775463187824998,0.023793672544215688,0.9572067172691161,0.33846292727190774,70,5363,1 + f + f2,True,949.2594099278213,-1868.5188198556425,-1769.7096378708986
pre_cue,PO10,f2,0.06803238995128118,0.049558439664713745,1.3727710236955084,0.16982354150530576,70,5363,1 + f + f2,True,949.2594099278213,-1868.5188198556425,-1769.7096378708986
pre_cue,PO10,group[T.experimental]:f2,-0.09637094916015684,0.06968472895169259,-1.3829565043865477,0.1666782030551025,70,5363,1 + f + f2,True,949.2594099278213,-1868.5188198556425,-1769.7096378708986
pre_cue,PO10,mean_trial_difficulty,0.06401698197870719,0.033760982530255085,1.8961824325266015,0.05793592532886407,70,5363,1 + f + f2,True,949.2594099278213,-1868.5188198556425,-1769.7096378708986
pre_cue,PO3,Intercept,1.453070356349186,0.05448914449973159,26.66715305754789,1.1321553240392584e-156,70,5389,1 + f + f2,True,2330.724431448776,-4631.448862897552,-4532.5671361285495
pre_cue,PO3,group[T.experimental],-0.052741123672917986,0.07479102968905,-0.7051798042117302,0.4806983478345157,70,5389,1 + f + f2,True,2330.724431448776,-4631.448862897552,-4532.5671361285495
pre_cue,PO3,half[T.second],0.027249877992505812,0.0041321320595948605,6.594629019474648,4.263205325298344e-11,70,5389,1 + f + f2,True,2330.724431448776,-4631.448862897552,-4532.5671361285495
pre_cue,PO3,f,-0.018717411108192267,0.011627044187515138,-1.6098168035080325,0.10743785573495757,70,5389,1 + f + f2,True,2330.724431448776,-4631.448862897552,-4532.5671361285495
pre_cue,PO3,group[T.experimental]:f,-0.014358080275511746,0.016290139877780614,-0.8813969912619256,0.37810298558552136,70,5389,1 + f + f2,True,2330.724431448776,-4631.448862897552,-4532.5671361285495
pre_cue,PO3,f2,-0.03202484027189392,0.02619308522915723,-1.2226448313253677,0.22146387253234212,70,5389,1 + f + f2,True,2330.724431448776,-4631.448862897552,-4532.5671361285495
pre_cue,PO3,group[T.experimental]:f2,0.06562711535771473,0.03710723498977774,1.7685800457995218,0.07696398317065267,70,5389,1 + f + f2,True,2330.724431448776,-4631.448862897552,-4532.5671361285495
pre_cue,PO3,mean_trial_difficulty,0.01966873987988528,0.02608152507586607,0.754125375056587,0.45077394185137354,70,5389,1 + f + f2,True,2330.724431448776,-4631.448862897552,-4532.5671361285495
pre_cue,PO4,Intercept,1.4575210190754095,0.03692774608156417,39.46953642543224,0.0,70,5378,1 + f + f2,True,2359.894684340692,-4689.789368681384,-4590.938291128952
pre_cue,PO4,group[T.experimental],-0.03266885939337416,0.04970708044392724,-0.6572274835217232,0.511034656264548,70,5378,1 + f + f2,True,2359.894684340692,-4689.789368681384,-4590.938291128952
pre_cue,PO4,half[T.second],0.028560788051322734,0.004135513706103198,6.906224977364403,4.97720439597981e-12,70,5378,1 + f + f2,True,2359.894684340692,-4689.789368681384,-4590.938291128952
pre_cue,PO4,f,-0.012701104156706458,0.008879034989310326,-1.430459973634253,0.15258504586710303,70,5378,1 + f + f2,True,2359.894684340692,-4689.789368681384,-4590.938291128952
pre_cue,PO4,group[T.experimental]:f,-0.004489595908165646,0.012507325212779606,-0.35895731755486077,0.7196270198333778,70,5378,1 + f + f2,True,2359.894684340692,-4689.789368681384,-4590.938291128952
pre_cue,PO4,f2,0.00043233318939061877,0.024093733088502857,0.017943802556562777,0.9856836852434366,70,5378,1 + f + f2,True,2359.894684340692,-4689.789368681384,-4590.938291128952
pre_cue,PO4,group[T.experimental]:f2,-0.02690834132927566,0.03429500764084528,-0.7846139476355702,0.4326799498782987,70,5378,1 + f + f2,True,2359.894684340692,-4689.789368681384,-4590.938291128952
pre_cue,PO4,mean_trial_difficulty,0.06585177446050511,0.026182971984833953,2.515061105311064,0.011901175468043302,70,5378,1 + f + f2,True,2359.894684340692,-4689.789368681384,-4590.938291128952
pre_cue,PO7,Intercept,1.364000357026345,0.046255295760403346,29.48852308915495,4.0402904277852543e-191,70,5376,1 + f + f2,True,1688.5441567842063,-3347.0883135684126,-3248.2428153353676
pre_cue,PO7,group[T.experimental],-0.08297589785486466,0.06269286542350785,-1.3235301544177196,0.18565913518066268,70,5376,1 + f + f2,True,1688.5441567842063,-3347.0883135684126,-3248.2428153353676
pre_cue,PO7,half[T.second],0.03723864542703268,0.004670772465450325,7.972695245269751,1.5525068643070956e-15,70,5376,1 + f + f2,True,1688.5441567842063,-3347.0883135684126,-3248.2428153353676
pre_cue,PO7,f,-0.03197874261603113,0.01368417026582374,-2.3369149897161208,0.019443604771209058,70,5376,1 + f + f2,True,1688.5441567842063,-3347.0883135684126,-3248.2428153353676
pre_cue,PO7,group[T.experimental]:f,0.012068117967948317,0.019154939778205517,0.630026411342698,0.5286773043327913,70,5376,1 + f + f2,True,1688.5441567842063,-3347.0883135684126,-3248.2428153353676
